COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
CA,2020-07-01,FIRST TIME HEARING Phil Collins - In the Air Tonight REACTION,TwinsthenewTrend,Entertainment,5452179,2.02
IN,2020-07-01,Little Voice — Official Trailer | Apple TV+,Apple India,Science & Technology,1049077,0.39
MX,2020-07-01,"Fuerte explosión en El Cairo, en tubería de petróleo",Canal66,News & Politics,10796592,2.27
BR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,244507902,6.52
CA,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,232649205,6.76
DE,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,219110491,7.06
FR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,232649205,6.76
GB,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,208581468,7.31
IN,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,253995993,6.34
JP,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,262319276,6.20
KR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,262319276,6.20
MX,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,253995993,6.34
RU,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,183532509,8.00
US,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,232649205,6.76
BR,2020-09-01,EVERGLOW (에버글로우) - LA DI DA MV,Stone Music Entertainment,Music,45950142,2.16
CA,2020-09-01,EVERGLOW (에버글로우) - LA DI DA MV,Stone Music Entertainment,Music,45950142,2.16
DE,2020-09-01,Stray Kids Back Door M/V,JYP Entertainment,Music,36413172,5.54
FR,2020-09-01,EVERGLOW (에버글로우) - LA DI DA MV,Stone Music Entertainment,Music,45950142,2.16
GB,2020-09-01,EVERGLOW (에버글로우) - LA DI DA MV,Stone Music Entertainment,Music,45950142,2.16
