CHANNELTITLE,CATEGORY_TITLE,CHANNEL_VIEW_COUNT
Brawl Stars,Gaming,12719779741
MrBeast Gaming,Gaming,11901057921
Apple,Science & Technology,10217465810
Dude Perfect,Sports,9051719185
Clash of Clans,Gaming,7724331628
FORMULA 1,Sports,6306436460
cricket.com.au,Sports,5926564716
NFL,Sports,5834332005
League of Legends,Gaming,5683746083
Mark Rober,Science & Technology,5444701165
YouTube,Education,5320893963
Kimberly Loaiza,People & Blogs,5063118146
Dream,Gaming,4943881956
Apex Legends,Gaming,4726874625
Serie A,Sports,4591069401
SSundee,Gaming,4133205338
The Tonight Show Starring Jimmy Fallon,Comedy,4083381512
Bella Poarch,People & Blogs,3988673396
Tsuriki Show,Comedy,3972601513
AnthonySenpai,Gaming,3692200878
That's Amazing Shorts,Sports,3388295831
Marques Brownlee,Science & Technology,3070971596
Dr.Harrsha Artist,Film & Animation,3052616728
Zach King Shorts,Comedy,3038817592
Alan Chikin Chow,Comedy,3012808464
England & Wales Cricket Board,Sports,2934573300
HBO Max,Film & Animation,2927660467
WWE,Sports,2872329108
Dixie D'Amelio,People & Blogs,2866678905
NBA,Sports,2822769285
Fortnite,Gaming,2756226480
PlayStation,Gaming,2756021156
PSG - Paris Saint-Germain,Sports,2749791097
TommyInnit,Gaming,2713360127
Warner Bros. Pictures,Film & Animation,2706858763
東海オンエア,Comedy,2679092094
Kurzgesagt – In a Nutshell,Education,2676990166
LazarBeam,Gaming,2659057806
SpaceX,Science & Technology,2598409076
Goodwin Family,People & Blogs,2543467048
Clash Royale,Gaming,2455681305
Adam W,Comedy,2439569819
NASA,Science & Technology,2416771159
The Game Theorists,Gaming,2388740720
Samsung,Science & Technology,2381474526
MrBeast Shorts,People & Blogs,2360004942
Crazy XYZ,Science & Technology,2357950144
That Little Puff,People & Blogs,2351161086
FC Barcelona,Sports,2335845627
Veritasium,Education,2209301600
Sourav Joshi Vlogs,People & Blogs,2182708041
SportsNation,Sports,2174264378
Liverpool FC,Sports,2145303607
The Pixel Kingdom,Gaming,2133659795
Thanh Thảo Official,People & Blogs,2095743855
LaLiga Santander,Sports,2042586239
Genshin Impact,Gaming,2026772961
MR. INDIAN HACKER,Science & Technology,1965557894
Nintendo,Gaming,1954255710
The Tonight Show Starring Jimmy Fallon,People & Blogs,1933395067
Boston Dynamics,Science & Technology,1925003255
UFC - Ultimate Fighting Championship,Sports,1920592531
Kep1er,People & Blogs,1915157768
mingweirocks,Comedy,1914260520
Minecraft,Gaming,1902573963
Foodie Incarnate,People & Blogs,1901576042
Tool_Tips,People & Blogs,1900683592
Luisito Comunica,Comedy,1859700330
DAZN Boxing,Sports,1859208223
dednahype,Comedy,1846863245
MoniLina,Comedy,1781419779
Google,Science & Technology,1754444040
MoreSidemen,People & Blogs,1664866192
