COUNTRY,CATEGORY_TITLE,COUNTRYWISE_CATEGORY_VIEWS,POPULARITY
GB,People & Blogs,22886749012,2
GB,Sports,21340818887,3
GB,Comedy,11502565431,4
GB,Science & Technology,8788860635,5
IN,People & Blogs,29447709750,1
IN,Comedy,20045677727,2
IN,Science & Technology,11337528625,3
IN,Gaming,9846972410,4
IN,Sports,9296025110,5
CA,Science & Technology,10163752051,5
DE,People & Blogs,19436702702,1
DE,Gaming,16690061893,2
DE,Sports,13904006093,3
DE,Comedy,9680550674,4
DE,Science & Technology,6510048907,5
KR,People & Blogs,13515625109,1
KR,Sports,8052315514,2
KR,Comedy,6450089881,3
KR,News & Politics,5667373625,4
KR,Gaming,4795341429,5
MX,Gaming,22537854653,1
MX,People & Blogs,19965612883,2
MX,Sports,11418081074,3
JP,People & Blogs,9926658604,1
JP,Gaming,9455565338,2
JP,Comedy,6091707360,3
JP,Sports,4820470617,4
JP,Film & Animation,4634429589,5
US,Gaming,38792528568,1
US,Sports,22317018148,2
US,People & Blogs,19552738339,3
US,Comedy,11624636448,4
US,Science & Technology,9634745853,5
BR,People & Blogs,13300888918,1
BR,Gaming,13212566710,2
BR,Sports,9429881010,3
BR,Comedy,5391343532,4
BR,Science & Technology,3099981500,5
CA,Gaming,36677437270,1
CA,People & Blogs,27766335927,2
CA,Sports,19842009934,3
CA,Comedy,16669946485,4
FR,Sports,7866547047,1
FR,Gaming,7726931818,2
FR,Comedy,6448984517,3
FR,People & Blogs,3606448013,4
FR,Science & Technology,2979717098,5
GB,Gaming,31878388652,1
MX,Comedy,9145892847,4
MX,Film & Animation,3345749502,5
RU,People & Blogs,8012856672,1
RU,Comedy,5441643638,2
RU,Sports,5364615742,3
RU,Gaming,4204169047,4
RU,News & Politics,4151640334,5
